zaman_unix,icao24,enlem,boylam,hiz,yon,dikey_hiz,geo_irtifa_m,baro_irtifa_m,zaman,ucus_numarasi,kalkis_havaalani,varis_havaalani,basinc_hpa,ti1_indeksi,edr_proxy
1547581176,4ba9a9,41.00386047363281,28.8895263671875,98.4955401337459,54.56668598971442,2.27584,731.52,800.1,2019-01-15 19:39:36+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581177,4ba9a9,41.00432832362288,28.890360051935367,98.4955401337459,54.56668598971442,2.27584,731.52,800.1,2019-01-15 19:39:37+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581178,4ba9a9,41.00486755371094,28.89141845703125,98.4955401337459,54.56668598971442,2.27584,731.52,800.1,2019-01-15 19:39:38+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581179,4ba9a9,41.005445577330505,28.892419988458805,101.48638513655767,54.69866173771009,1.6256000000000002,739.14,807.72,2019-01-15 19:39:39+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581180,4ba9a9,41.005445577330505,28.892419988458805,102.32781279674573,55.03157773236119,2.60096,739.14,807.72,2019-01-15 19:39:40+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581181,4ba9a9,41.00633239746094,28.8941650390625,103.04430180056274,54.961112098591535,4.22656,746.76,815.34,2019-01-15 19:39:41+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581182,4ba9a9,41.00693524894068,28.89529141512784,103.04430180056274,54.961112098591535,4.22656,746.76,822.96,2019-01-15 19:39:42+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581183,4ba9a9,41.00693524894068,28.89529141512784,103.46593085915383,55.12467165539782,5.52704,754.38,830.58,2019-01-15 19:39:43+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581184,4ba9a9,41.007959398172666,28.897226507013492,103.88839621822649,55.28690228535238,7.152640000000001,762.0,845.82,2019-01-15 19:39:44+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581185,4ba9a9,41.008611129502114,28.898537375710227,104.44606920792147,55.84030545433057,9.7536,777.24,853.44,2019-01-15 19:39:45+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581186,4ba9a9,41.00907897949219,28.8994140625,104.44606920792147,55.84030545433057,9.7536,784.86,868.6800000000001,2019-01-15 19:39:46+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581187,4ba9a9,41.00982148768538,28.900971846147016,104.44606920792147,55.84030545433057,11.05408,792.48,876.3000000000001,2019-01-15 19:39:47+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581188,4ba9a9,41.01028701006356,28.901845758611504,105.0133820209024,56.38777995262904,12.029440000000001,822.96,891.5400000000001,2019-01-15 19:39:48+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581189,4ba9a9,41.010589599609375,28.90252685546875,105.0133820209024,56.38777995262904,12.029440000000001,807.72,906.7800000000001,2019-01-15 19:39:49+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581190,4ba9a9,41.01107839810646,28.903406316583805,105.15945087555261,56.776373562912816,12.029440000000001,838.2,914.4000000000001,2019-01-15 19:39:50+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581191,4ba9a9,41.0115966796875,28.904541015625,105.15945087555261,56.776373562912816,12.029440000000001,845.82,10058.4,2019-01-15 19:39:51+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581192,4ba9a9,41.01214909957627,28.905653520063918,105.5901792793317,56.92932217723833,11.704320000000001,861.06,937.26,2019-01-15 19:39:52+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581193,4ba9a9,41.01283264160156,28.906982421875,105.5901792793317,56.92932217723833,11.704320000000001,868.68,952.5,2019-01-15 19:39:53+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581194,4ba9a9,41.01283264160156,28.906982421875,106.02165400187515,57.08102695997009,11.3792,876.3,952.5,2019-01-15 19:39:54+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581195,4ba9a9,41.013702392578125,28.9088134765625,106.17630641205311,57.464932842065,11.05408,899.16,975.36,2019-01-15 19:39:55+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581196,4ba9a9,41.014251708984375,28.90997314453125,106.8868062352505,57.38075692880717,10.40384,906.78,990.6,2019-01-15 19:39:56+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581197,4ba9a9,41.01480257713188,28.911084261807527,107.32046598854629,57.528807709151515,9.42848,914.4,998.22,2019-01-15 19:39:57+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581198,4ba9a9,41.015350341796875,28.91229248046875,107.32046598854629,57.528807709151515,9.42848,922.02,1005.84,2019-01-15 19:39:58+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581199,4ba9a9,41.01578017412606,28.913206620649856,107.75483654149232,57.675665848395894,9.10336,929.64,1013.46,2019-01-15 19:39:59+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581200,4ba9a9,41.01658630371094,28.91485595703125,108.18990933274235,57.821343793398924,8.45312,929.64,1021.08,2019-01-15 19:40:00+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581201,4ba9a9,41.0169439800715,28.915578668767754,108.89942291667187,57.73640020479783,7.477760000000001,944.88,1028.7,2019-01-15 19:40:01+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581202,4ba9a9,41.017364501953125,28.91650390625,108.89942291667187,57.73640020479783,7.477760000000001,944.88,1036.3200000000002,2019-01-15 19:40:02+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581203,4ba9a9,41.017822265625,28.91741943359375,109.33478223074296,57.880311149024855,7.477760000000001,960.12,1043.94,2019-01-15 19:40:03+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581204,4ba9a9,41.018463134765625,28.9188232421875,109.33478223074296,57.880311149024855,7.477760000000001,967.7399999999999,1051.56,2019-01-15 19:40:04+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581205,4ba9a9,41.018463134765625,28.9188232421875,109.33478223074296,57.880311149024855,7.477760000000001,967.74,1059.18,2019-01-15 19:40:05+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581206,4ba9a9,41.01947021484375,28.92095947265625,109.33478223074296,57.880311149024855,7.477760000000001,967.74,1066.8,2019-01-15 19:40:06+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581207,4ba9a9,41.02001642776748,28.922133012251418,109.062128,58.10920819815429,7.152640000000001,990.6,1074.42,2019-01-15 19:40:07+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581208,4ba9a9,41.02080781581038,28.923755992542613,109.062128,58.10920819815429,7.152640000000001,998.2199999999999,1082.04,2019-01-15 19:40:08+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581209,4ba9a9,41.02104057699947,28.92425537109375,109.062128,58.10920819815429,7.152640000000001,1005.84,1089.66,2019-01-15 19:40:09+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
1547581210,4ba9a9,41.02145954713983,28.92519170587713,109.49925736280808,58.25141886493459,7.477760000000001,1013.4599999999999,1097.28,2019-01-15 19:40:10+00:00,THY322,LTBA,,300.0,1.0920169215018585e-06,0.9271960201695799
